common_material_id,common_code,common_description,material_family,material_type,material_grade,nominal_size,pressure_rating,standard_spec,unit_of_measure,consolidated_attributes,cpse_coverage,member_count,governance_status,group_confidence,group_identity_hash,approved_by,approved_at,approval_rationale
CMM-BEARNG-3EC238-001,CMM-BEARNG-3EC238-001,BEARING | BALL BEARING | AISI 52100 | 22208 | ABMA 9,BEARING,BALL BEARING,AISI 52100,22208,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""22208"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",Coal India;HPCL,2,VERIFIED_HARMONIZED,1.0,3ec2383b6286cc9bc417f221f8a25ce8dc71f787ffb25c48f0d7060cebe6909f,,,
CMM-BEARNG-491461-001,CMM-BEARNG-491461-001,BEARING | BALL BEARING | STAINLESS STEEL | 30205 | ISO 15,BEARING,BALL BEARING,STAINLESS STEEL,30205,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""30205"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;IOCL;NTPC;ONGC;SAIL,8,AMBIGUOUS_REVIEW_REQUIRED,1.0,491461b1a0414b3cba1a009ed4e33be6ca9fc64ef51944c4c78b6d51e8855bd5,,,
CMM-BEARNG-52104E-001,CMM-BEARNG-52104E-001,BEARING | STAINLESS STEEL | 22208 | ABMA 9,BEARING,,STAINLESS STEEL,22208,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""22208"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,14,AMBIGUOUS_REVIEW_REQUIRED,1.0,52104e2e506a5a02f264f3a76bfd331592cea1a38703be1a7c38c3d2d9d223ef,,,
CMM-BEARNG-668968-001,CMM-BEARNG-668968-001,BEARING | AISI 52100 | 6304 | ISO 15,BEARING,,AISI 52100,6304,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;IOCL;NMDC;ONGC;SAIL,7,AMBIGUOUS_REVIEW_REQUIRED,1.0,6689681f84338ad6a8e5642ac2ec3b32ee31d86190a9ae7045d60e206fa06418,,,
CMM-BEARNG-66CBD4-001,CMM-BEARNG-66CBD4-001,BEARING | BALL BEARING | CHROME STEEL | 30205 | ISO 15,BEARING,BALL BEARING,CHROME STEEL,30205,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""30205"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",Coal India;ONGC,2,VERIFIED_HARMONIZED,1.0,66cbd48ba857985873fec929605217c776ea4992d44ee18dcf3ab6021376dd25,,,
CMM-BEARNG-67CA99-001,CMM-BEARNG-67CA99-001,BEARING | AISI 52100 | 6304,BEARING,,AISI 52100,6304,,UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625),NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625)"", ""standard"": """", ""unit"": ""NOS""}",BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,15,AMBIGUOUS_REVIEW_REQUIRED,0.7,67ca9952f1c2c1f535466122a80dd32bc790f59de882f80a101a8015a36883bd,,,
CMM-BEARNG-75E845-001,CMM-BEARNG-75E845-001,BEARING | AISI 52100 | 22208 | ABMA 9,BEARING,,AISI 52100,22208,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""22208"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",Coal India;IOCL;NMDC;NTPC;ONGC,6,AMBIGUOUS_REVIEW_REQUIRED,1.0,75e845439a55299091d8a8944a6484751a586b66b445c4496dc0874768cdd63d,,,
CMM-BEARNG-7BE095-001,CMM-BEARNG-7BE095-001,BEARING | AISI 52100 | 6408,BEARING,,AISI 52100,6408,,UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625),NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6408"", ""specification"": ""UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625)"", ""standard"": """", ""unit"": ""NOS""}",Coal India;NMDC;ONGC,4,AMBIGUOUS_REVIEW_REQUIRED,0.7,7be095d241a40b4900a5b5afc04c6bfaa870635094fc70616b965478e20d1739,,,
CMM-BEARNG-87EFE4-001,CMM-BEARNG-87EFE4-001,BEARING | BALL BEARING | CHROME STEEL | 6408 | ABMA 9,BEARING,BALL BEARING,CHROME STEEL,6408,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6408"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",Coal India;HPCL;NMDC;NTPC;ONGC;SAIL,6,VERIFIED_HARMONIZED,1.0,87efe444b87512ff5af4cf9000affb266e020047e1b14d119fe89966ab861438,,,
CMM-BEARNG-89DC5A-001,CMM-BEARNG-89DC5A-001,BEARING | CHROME STEEL | 6408 | ISO 15,BEARING,,CHROME STEEL,6408,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6408"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;HPCL;NTPC;ONGC;SAIL,5,VERIFIED_HARMONIZED,1.0,89dc5a989ee316a241cc4b09277393d8dfc4bf75cc657aaa4d5d7184ed8c698b,,,
CMM-BEARNG-947C4D-001,CMM-BEARNG-947C4D-001,BEARING | BALL BEARING | CHROME STEEL | 22208 | DIN 625,BEARING,BALL BEARING,CHROME STEEL,22208,,DIN 625,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""22208"", ""specification"": ""DIN 625"", ""standard"": """", ""unit"": ""NOS""}",Coal India;HPCL;NMDC;NTPC;ONGC,5,VERIFIED_HARMONIZED,1.0,947c4d37501bedb56fdcfa4c3c48414a48300dfe0bbe1bc02a91919aea74b6b7,,,
CMM-BEARNG-98CF95-001,CMM-BEARNG-98CF95-001,BEARING | BALL BEARING | STAINLESS STEEL | 6304 | ABMA 9,BEARING,BALL BEARING,STAINLESS STEEL,6304,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",BHEL;Coal India;ONGC;SAIL,4,VERIFIED_HARMONIZED,1.0,98cf95ef7aab5558748a54cb53e29f9045ea41b11b0d7fb9fc14e85f3e487199,,,
CMM-BEARNG-A0A0E6-001,CMM-BEARNG-A0A0E6-001,BEARING | CHROME STEEL | 30205 | ISO 15,BEARING,,CHROME STEEL,30205,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""30205"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",HPCL;NMDC,2,VERIFIED_HARMONIZED,1.0,a0a0e6291ef3db7a8e606e0de184b5e3f18091397d0dae08966df45b3f24a1a4,,,
CMM-BEARNG-A2CB3C-001,CMM-BEARNG-A2CB3C-001,BEARING | STAINLESS STEEL | 6208 | ISO 15,BEARING,,STAINLESS STEEL,6208,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6208"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,9,AMBIGUOUS_REVIEW_REQUIRED,1.0,a2cb3cf32df6e142bfc88e8fe9b55e8fe8b6bd98e37023efa25607b8db1d2ae7,,,
CMM-BEARNG-A353C8-001,CMM-BEARNG-A353C8-001,BEARING | CHROME STEEL | 6304 | DIN 625,BEARING,,CHROME STEEL,6304,,DIN 625,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""DIN 625"", ""standard"": """", ""unit"": ""NOS""}",HPCL;SAIL,2,VERIFIED_HARMONIZED,1.0,a353c8bd562c7aab51eec839a74fd2378dae8b78d33b95e5c217fa84f3bcd798,,,
CMM-BEARNG-A74B84-001,CMM-BEARNG-A74B84-001,BEARING | CHROME STEEL | 6304 | ISO 15,BEARING,,CHROME STEEL,6304,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;Coal India;HPCL;NMDC;NTPC;ONGC,7,AMBIGUOUS_REVIEW_REQUIRED,1.0,a74b8490577227eaac3704b85f2deb6638d3a3a4e05d11e756f00bc3b39b71f9,,,
CMM-BEARNG-BE8172-001,CMM-BEARNG-BE8172-001,BEARING | STAINLESS STEEL | 6304 | DIN 625,BEARING,,STAINLESS STEEL,6304,,DIN 625,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""DIN 625"", ""standard"": """", ""unit"": ""NOS""}",Coal India;SAIL,2,VERIFIED_HARMONIZED,1.0,be817242fbfa1849e815ffb00cc26fc661d74e0971c0cd85e7c83556f95b8208,,,
CMM-BEARNG-D5796C-001,CMM-BEARNG-D5796C-001,BEARING | AISI 52100 | 6408 | ISO 15,BEARING,,AISI 52100,6408,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6408"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;ONGC;SAIL,4,AMBIGUOUS_REVIEW_REQUIRED,1.0,d5796cfe07b4a338f3a942581e828471455ae6b404eb54bc71c774c2e0347566,,,
CMM-BEARNG-D8807A-001,CMM-BEARNG-D8807A-001,BEARING | CHROME STEEL | 30205 | ABMA 9,BEARING,,CHROME STEEL,30205,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""30205"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",HPCL;ONGC,2,VERIFIED_HARMONIZED,1.0,d8807a24182699c2b1abf30e7b650457e4aee2e92b55d99bcedfe309b55d072b,,,
CMM-BEARNG-D93FF3-001,CMM-BEARNG-D93FF3-001,BEARING | STAINLESS STEEL | 6208 | ABMA 9,BEARING,,STAINLESS STEEL,6208,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6208"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",Coal India;HPCL,2,VERIFIED_HARMONIZED,1.0,d93ff373ceb78f8b948aea420f82a2371080ef16c0a02976f2b3d56e9c769606,,,
CMM-BEARNG-F25509-001,CMM-BEARNG-F25509-001,BEARING | BALL BEARING | CHROME STEEL | 6304 | ABMA 9,BEARING,BALL BEARING,CHROME STEEL,6304,,ABMA 9,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6304"", ""specification"": ""ABMA 9"", ""standard"": """", ""unit"": ""NOS""}",BHEL;ONGC,2,VERIFIED_HARMONIZED,1.0,f2550910bd4acd94651d133b60954e386795304040268e288d81e5d1ccfedca7,,,
CMM-BEARNG-F56C70-001,CMM-BEARNG-F56C70-001,BEARING | AISI 52100 | 22208 | ISO 15,BEARING,,AISI 52100,22208,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""BEARING"", ""material_grade"": ""AISI 52100"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""22208"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",IOCL;ONGC,2,VERIFIED_HARMONIZED,1.0,f56c700bda665978971c7b1e1ea35e322ecb2331f55dce890c7187185217acdc,,,
CMM-BEARNG-FBE56C-001,CMM-BEARNG-FBE56C-001,BEARING | STAINLESS STEEL | 6408 | ISO 15,BEARING,,STAINLESS STEEL,6408,,ISO 15,NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""STAINLESS STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""STAINLESS STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6408"", ""specification"": ""ISO 15"", ""standard"": ""ISO 15"", ""unit"": ""NOS""}",BHEL;NTPC;ONGC,4,AMBIGUOUS_REVIEW_REQUIRED,1.0,fbe56cc36840048b5342e8374fcf4dea8e41889141cb12edff09331e0966afac,,,
CMM-BEARNG-FCEB8C-001,CMM-BEARNG-FCEB8C-001,BEARING | BALL BEARING | CHROME STEEL | 30205,BEARING,BALL BEARING,CHROME STEEL,30205,,UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625),NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": ""BALL BEARING"", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""30205"", ""specification"": ""UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625)"", ""standard"": """", ""unit"": ""NOS""}",Coal India;HPCL;NMDC,4,AMBIGUOUS_REVIEW_REQUIRED,0.7,fceb8c3ef43c56c418262bd47c30feb63bcddae0eb9ef7705d2fff5321b9cc71,,,
CMM-BEARNG-FF170C-001,CMM-BEARNG-FF170C-001,BEARING | CHROME STEEL | 6408,BEARING,,CHROME STEEL,6408,,UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625),NOS,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": ""CHROME STEEL"", ""material_family"": ""BEARING"", ""material_grade"": ""CHROME STEEL"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""6408"", ""specification"": ""UNRESOLVED_CONFLICT (ABMA 9 vs DIN 625)"", ""standard"": """", ""unit"": ""NOS""}",BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;SAIL,15,AMBIGUOUS_REVIEW_REQUIRED,0.7,ff170c3c1f5dd239d5019415e81ddfec60d871062a921147b7b1678a4557bedc,,,
CMM-ELECTR-05219D-001,CMM-ELECTR-05219D-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,,COPPER WOUND,11 KV,,IS 12615,MTR,"{""connection_type"": """", ""construction"": """", ""end_type"": """", ""material"": """", ""material_family"": ""ELECTRICAL"", ""material_grade"": ""COPPER WOUND"", ""material_subtype"": """", ""material_type"": """", ""nominal_size"": """", ""orientation"": """", ""pressure_class"": """", ""rating"": """", ""size"": ""11 KV"", ""specification"": ""IS 12615"", ""standard"": ""IS 12615"", ""unit"": ""MTR""}",SAIL,1,STANDALONE_CANDIDATE,1.0,05219d430a7347d5822440e19acb20bfa0fedee7f13433996ef2d124721bcfb8,,,
